sizeCategory,carbonPercent_n,carbonPercent_mean,carbonPercent_sd,carbonPercent_se,carbonPercent_min,carbonPercent_max,carbonPercent_median,nitrogenPercent_n,nitrogenPercent_mean,nitrogenPercent_sd,nitrogenPercent_se,nitrogenPercent_min,nitrogenPercent_max,nitrogenPercent_median,cn_ratio_n,cn_ratio_mean,cn_ratio_sd,cn_ratio_se,cn_ratio_min,cn_ratio_max,cn_ratio_median
<=4mm,36,40.00611111111111,10.550534252627829,1.7584223754379715,5.5,51.9,43.5,36,0.7291666666666666,0.2391577482989597,0.039859624716493285,0.2,1.4,0.7,36,57.2549068986569,16.244366495714086,2.7073944159523475,13.666666666666666,86.5,59.59821428571429
>4mm,8,49.0875,3.772622240753581,1.3338233846460226,41,53.6,49.900000000000006,8,0.6125,0.2799872446074234,0.09899043965382284,0.2,1.1,0.55,8,101.87575757575758,61.2324172505078,21.648928733139098,37.272727272727266,236.49999999999997,90.26666666666667
