"x"
0.01
0.34
84.04
0.26
2.85
0.88
537.17
2.52
0.4
10.39
9.2
314.33
61.99
20.66
0.4
148.45
62.26
216.28
0.56
145.8
0.11
1.17
74.41
10.36
0.25
2174.94
62.93
0.48
0.64
1.73
1.39
197.58
56.64
164.45
0.88
1579.36
139.11
350.73
2307.37
0.11
2.04
31.92
331.92
10.1
23.22
1086.64
54.47
